A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
39,1.286737909,2.429524527,0.956133102,1.477542241,4.786375676,3.382357404,2.519346925,good
79,2.1674624,1.72966774,1.292344082,2.343027022,0.313248004,0.90759004,1.78744711,bad
119,0.591987065,2.618652027,1.073478951,1.114681034,2.536374537,1.75475805,1.660639485,bad
159,0.008339314,0.258309041,0.589022384,2.216558601,2.347407105,0.439727813,4.797638853,good
199,3.976937188,1.876774175,0.103705872,1.482253754,0.416406564,1.765280919,2.718979289,bad
239,0.903390631,0.006481297,1.85797724,1.905665353,1.323631982,0.237555458,0.635232848,bad
279,0.560748733,0.157070531,1.695140995,0.454258111,1.54203353,0.351700673,1.822181262,bad
319,2.228778607,1.034194946,0.921878168,0.161100226,2.694175463,0.803583773,2.316583272,bad
359,2.252408848,2.923768893,0.622918038,0.191839018,2.615010091,1.274305092,3.976483633,bad
399,1.037014436,2.611286502,2.975672075,0.409859466,0.583967206,3.587746764,4.405949342,bad
439,1.353415925,0.095966961,2.329803018,2.519162172,3.172246292,0.438285708,0.009153027,bad
479,1.602586992,1.420063463,0.598390106,0.836843768,0.769142685,3.079575162,0.985013262,good
519,0.899434264,0.175009018,2.138931907,0.804955375,1.201174794,1.475026613,0.72650885,bad
559,2.118697904,0.441049723,0.884647265,1.046843714,1.654620545,1.783180434,1.916665389,good
599,0.539638857,0.371998948,0.739616231,3.301151511,1.53170941,0.67487519,2.011494167,good
639,3.663151385,0.881709121,0.771988178,1.730581468,0.475534881,1.006856055,3.675142735,good
679,0.711035314,3.377666855,1.825954976,2.683285947,2.70647602,1.076922522,0.536212238,good
719,1.265104584,0.330938457,0.586008292,1.727311454,0.371201965,3.324980144,0.369160911,good
759,2.365988943,0.40845916,1.889352773,0.317035839,2.321174952,0.201606158,2.966694832,good
799,1.334120096,3.22731063,1.231597544,1.438142252,0.559514528,1.964592957,3.480103771,bad
839,2.333227356,0.789809118,0.320618907,0.092722216,0.072852649,0.728017955,3.47105338,good
879,1.365953419,1.865934764,2.61515723,0.704463338,2.727113289,0.28381246,2.84060724,bad
919,2.651578571,0.378202438,2.49375469,2.35130877,0.27963485,0.82733629,1.724640045,bad
959,0.417864594,3.215078423,1.87922744,1.470473381,0.011738972,2.864335661,1.260253613,good
999,0.938877608,0.169641689,0.220232474,1.263677317,1.353255279,0.144245235,1.22898763,bad
1039,2.122771463,4.2298476,0.238536396,2.112481718,2.865717277,1.347609951,2.653468431,good
1079,1.175254612,2.023453658,0.608436062,2.111248983,1.579690415,1.604498657,2.068649561,good
1119,3.730617456,0.733581791,0.374005659,1.032236238,3.309976486,1.620151548,4.969911363,good
1159,0.494946241,1.53767335,0.202694735,1.305193953,1.376384378,1.4512799,0.825066953,bad
1199,1.030414366,0.383283703,0.315503512,3.765261047,0.70765035,1.176687564,1.632220274,bad
1239,0.571189234,1.670900685,1.162681144,2.191042685,3.082068149,0.676342374,0.270877363,bad
1279,2.139997149,4.762105051,2.830566284,0.964477839,0.337347784,3.123964702,1.466012486,good
1319,0.302594477,1.757761893,3.601486744,0.629714442,0.566145286,2.89283063,1.485660777,bad
1359,2.28004505,0.289802921,0.199214116,1.509619586,0.317117948,1.206850582,1.063990358,good
1399,3.0364109,1.309048372,1.056825832,3.633489347,1.658983287,3.917238143,0.096056144,bad
1439,0.012611205,0.348714561,0.193004805,0.134781289,0.198722363,1.213644879,1.622219956,bad
1479,1.382872746,0.276894927,0.757916573,1.82081309,1.34477424,0.3993159,0.206759919,good
1519,0.071962032,1.357145696,1.27099894,3.068708713,0.284456527,1.105963544,0.977101501,good
1559,0.355180666,0.203809685,0.918484867,1.096898526,3.780833667,2.488558959,2.918977767,good
1599,1.193985973,1.337803989,1.825692218,2.023852183,0.461605227,0.301511261,0.661329719,bad
1639,1.589367852,0.396556169,0.932738577,2.559185831,0.349571541,3.899098562,2.380855802,good
1679,0.905159053,2.074056748,2.905731595,0.26048095,1.845435377,1.096334219,4.09531232,bad
1719,2.876533471,2.882160169,1.098156523,1.760447437,2.266886444,3.682713103,2.221258172,bad
1759,0.67528653,0.165078614,0.875505745,0.92328993,3.126285117,2.310633126,0.009209508,good
1799,1.622327961,2.266139387,0.260213124,0.881820456,1.834090041,1.351047006,2.706358361,bad
1839,0.477685771,1.876548629,1.212157645,1.893586304,0.372260994,1.816670914,1.461894077,good
1879,2.615956496,0.921263421,2.521159242,0.312473224,1.178771633,2.240087213,0.293620924,bad
1919,0.694597469,5.343076463,5.8623561,1.162238433,2.294458014,1.640538073,0.896418974,good
1959,3.163118966,0.12330382,0.20261736,2.206348183,1.494392356,3.44735858,0.011511544,bad
1999,2.415619502,0.996883024,3.575635885,0.327394135,4.083034742,0.964864831,0.319050723,bad
2039,1.525991681,2.208141852,1.03105051,2.534585514,1.322705161,0.569179191,1.736012279,bad
2079,1.109550502,2.790130715,0.32244415,1.797326115,4.667150083,0.25245425,1.126932496,bad
2119,2.900552504,2.392043352,4.162221352,0.97391202,1.28531825,0.319056379,0.10671871,good
2159,0.586694575,1.333885902,0.292023479,1.13649496,1.937563778,0.40091978,0.921238606,bad
2199,3.309756268,0.119803874,3.03695312,0.56283121,1.226005544,1.858117339,1.990957758,bad
2239,2.244004187,1.23310486,1.746307313,0.973217303,1.834335577,3.342083251,1.888234231,bad
2279,0.785999476,0.223439749,1.713161416,0.037062964,2.192483976,0.254302558,0.491266303,bad
2319,1.746794641,3.511757902,2.191907688,0.568637437,1.27942102,0.584781436,1.188675877,good
2359,0.311369933,2.81797516,3.218157238,0.791117838,2.272855316,3.153151687,0.22261528,bad
2399,1.684840454,1.540054904,0.799606503,0.265964055,1.376355632,2.981055391,1.0954011,bad
2439,0.130018578,0.966377947,1.115658071,0.261679777,5.452808884,2.027521833,3.436560049,bad
2479,2.504853191,0.951062124,0.80324753,0.330685638,1.744092032,0.027193171,2.108683493,good
2519,0.913955462,1.32108304,0.545792261,1.225552855,1.425379009,1.919352275,0.774225621,good
2559,2.929287512,2.568074529,1.074782027,1.763330692,1.688493676,0.063325091,4.04877488,good
2599,1.267688318,1.364850839,1.914994263,1.406624385,0.141873837,1.927254944,1.700165743,bad
2639,0.679838911,1.595182122,1.145147587,2.641587867,1.166639399,0.697545699,3.488602631,bad
2679,0.051800242,1.314066494,0.37133775,2.41355769,4.457239246,2.521056614,1.31740779,good
2719,0.240053078,0.754883346,1.305806173,0.693562703,1.642801341,1.84951927,2.71103408,good
2759,1.552914456,1.914401426,0.931410707,0.51281541,0.58744716,0.112721441,0.555947812,good
2799,0.10105216,1.292082993,0.417547469,0.14702359,0.97054486,2.924056759,0.884102443,good
2839,2.729848936,0.645097586,0.164711462,1.409389074,0.593033215,1.860771425,1.62268429,good
2879,0.629681048,1.034102384,2.720800614,0.528908809,2.388590194,0.875483669,2.352559669,bad
2919,2.504457554,1.225209148,0.325495802,1.066858582,0.032164612,0.684767071,1.334702168,bad
2959,3.472392108,1.504447649,5.371962996,0.905058773,4.399814702,1.063613808,0.428501793,bad
2999,0.324364911,1.022385055,0.200602295,1.13310104,1.079205978,2.5796951,1.625841828,good
3039,0.188985311,2.975707192,0.215147855,0.171247176,0.372198595,1.431905623,2.766830845,good
3079,4.073217342,0.551511458,0.890096776,1.068701142,0.272273438,1.138363055,2.362080615,good
3119,1.261198275,3.11739706,1.257282686,0.84837457,1.17177699,0.452884871,0.58178077,good
3159,2.345911563,0.103097004,1.150390986,1.628029728,1.399632034,0.358785703,2.62072577,bad
3199,1.245207658,0.679527321,1.354300811,0.838466808,0.126174435,0.190773411,2.200125883,good
3239,0.109009318,0.059472994,1.978437102,0.80508056,3.696736876,1.108279225,2.742458438,good
3279,1.762091893,2.050865761,1.375058828,2.988179417,0.353031154,1.025431923,3.200821467,good
3319,2.894795693,1.649702587,1.820986308,2.706713255,0.484924511,0.581211313,0.771607308,bad
3359,2.598997201,0.019600316,1.000199404,0.887716892,3.735830999,0.190812196,3.760518321,bad
3399,0.51628157,0.525095941,1.316112518,1.046405325,0.24623986,1.168722119,0.122828554,bad
3439,1.436725811,2.447958837,3.377979455,4.135873123,0.515781266,0.593262919,0.588996732,good
3479,0.415479637,0.160841431,0.416098641,0.722562516,1.689475818,0.518763155,2.620271545,good
3519,0.032135409,0.096373975,0.711031528,0.764649878,1.530441595,2.237087872,1.66902099,bad
3559,7.151703059,1.370716878,1.673137533,2.702934163,0.136146011,4.127709048,3.554015134,bad
3599,0.912156093,2.007618624,0.214032521,2.446091158,0.563639379,1.68269196,1.516106884,good
3639,1.048381823,1.839771286,1.376465914,3.183665186,0.253453804,1.620282534,0.024782906,good
3679,3.690033476,0.873525081,2.228896977,0.329779232,3.151650576,0.550207271,2.83624902,good
3719,1.753948737,2.404526608,3.030541966,1.461401776,1.282876617,0.320760295,0.401986967,good
3759,0.198065696,2.931482113,1.747093023,1.67128892,0.899779724,2.699313994,0.017095758,good
3799,3.866611648,2.034549033,3.63381768,2.76746813,1.922665704,1.212040959,2.9637063,good
3839,1.262207821,1.911969091,0.601878858,0.972099597,2.363917532,0.220316134,2.311174821,bad
3879,1.368755792,0.594595783,3.014961047,3.311564279,1.156120121,4.12900467,5.458589887,good
3919,1.10233361,3.224131806,0.778734464,0.872522631,0.240080297,1.472498827,0.458892829,good
3959,0.444592364,0.290373626,1.973922628,0.400662398,2.991891798,0.367347732,0.74790279,bad
3999,0.27853965,1.715505028,0.121217251,1.154074758,1.2666774,0.77657147,1.599796456,good
